2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 928 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-1] INFO   - 1 929 ms
2022-11-02 09:59:27.085 [Thread-2] INFO   - 2 929 ms
2022-11-02 09:59:27.086 [Thread-2] INFO   - 2 930 ms
2022-11-02 09:59:27.086 [Thread-2] INFO   - 2 930 ms
2022-11-02 09:59:27.086 [Thread-2] INFO   - 2 930 ms
2022-11-02 09:59:27.086 [Thread-2] INFO   - 2 930 ms
2022-11-02 09:59:27.086 [Thread-2] INFO   - 2 930 ms
2022-11-02 09:59:27.086 [Thread-2] INFO   - 2 930 ms
2022-11-02 09:59:27.086 [Thread-2] INFO   - 2 930 ms
2022-11-02 09:59:27.086 [Thread-2] INFO   - 2 930 ms
2022-11-02 09:59:27.086 [Thread-2] INFO   - 2 930 ms
2022-11-02 09:59:27.086 [Thread-2] INFO   - 2 930 ms
2022-11-02 09:59:27.086 [Thread-2] INFO   - 2 930 ms
2022-11-02 09:59:27.086 [Thread-2] INFO   - 2 930 ms
2022-11-02 09:59:27.086 [Thread-2] INFO   - 2 930 ms
2022-11-02 09:59:27.086 [Thread-2] INFO   - 2 930 ms
2022-11-02 09:59:27.086 [Thread-2] INFO   - 2 930 ms
2022-11-02 09:59:27.086 [Thread-2] INFO   - 2 930 ms
2022-11-02 09:59:27.087 [Thread-1] INFO   - 1 930 ms
2022-11-02 09:59:27.087 [Thread-1] INFO   - 1 931 ms
2022-11-02 09:59:27.088 [Thread-2] INFO   - 2 931 ms
2022-11-02 09:59:27.088 [Thread-2] INFO   - 2 932 ms
2022-11-02 09:59:27.088 [Thread-1] INFO   - 1 932 ms
2022-11-02 09:59:27.088 [Thread-1] INFO   - 1 932 ms
2022-11-02 09:59:27.088 [Thread-1] INFO   - 1 932 ms
2022-11-02 09:59:27.088 [Thread-1] INFO   - 1 932 ms
2022-11-02 09:59:27.088 [Thread-1] INFO   - 1 932 ms
2022-11-02 09:59:27.088 [Thread-1] INFO   - 1 932 ms
2022-11-02 09:59:27.088 [Thread-1] INFO   - 1 932 ms
2022-11-02 09:59:27.088 [Thread-1] INFO   - 1 932 ms
2022-11-02 09:59:27.088 [Thread-1] INFO   - 1 932 ms
2022-11-02 09:59:27.088 [Thread-1] INFO   - 1 932 ms
2022-11-02 09:59:27.088 [Thread-1] INFO   - 1 932 ms
2022-11-02 09:59:27.088 [Thread-1] INFO   - 1 932 ms
2022-11-02 09:59:27.088 [Thread-1] INFO   - 1 932 ms
2022-11-02 09:59:27.088 [Thread-1] INFO   - 1 932 ms
2022-11-02 09:59:27.088 [Thread-1] INFO   - 1 932 ms
2022-11-02 09:59:27.088 [Thread-1] INFO   - 1 932 ms
2022-11-02 09:59:27.088 [Thread-1] INFO   - 1 932 ms
2022-11-02 09:59:27.088 [Thread-1] INFO   - 1 932 ms
2022-11-02 09:59:27.088 [Thread-1] INFO   - 1 932 ms
2022-11-02 09:59:27.088 [Thread-1] INFO   - 1 932 ms
